City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Sierra Vista,US,70.59,moderate rain,31.5545,-110.3037,Sierra Vista Extended Stay Hotel
411,Yenagoa,NG,75.54,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
423,Panalingaan,PH,78.01,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
425,Ewa Beach,US,76.95,clear sky,21.3156,-158.0072,Uncle Junior Robert
429,Aksu,CN,70.41,few clouds,41.1231,80.2644,Pudong Holiday Hotel
431,Kapit,MY,74.39,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
433,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
439,Buta,CD,73.44,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
442,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
447,Cunha,BR,70.66,few clouds,-23.0744,-44.9597,Pousada Calu
449,Beira,MZ,71.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
450,Wajima,JP,70.54,broken clouds,37.4,136.9,Wajiima Onsen Yashio
452,Arkadelphia,US,78.39,clear sky,34.1209,-93.0538,COLLEGE INN MOTEL
459,Salinas,US,77.58,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
461,Qrendi,MT,77.11,few clouds,35.8347,14.4583,M'Anglu
469,Rincon,US,78.84,few clouds,32.296,-81.2354,Days Inn Rincon
471,Grand Gaube,MU,72.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
473,Balikpapan,ID,76.01,broken clouds,-1.2675,116.8289,ibis Balikpapan
477,Banda Aceh,ID,79.77,overcast clouds,5.5577,95.3222,Sulthan Hotel International
480,West Helena,US,72.61,clear sky,34.5507,-90.6418,Best Western Inn
482,Palimbang,PH,77.77,broken clouds,6.2106,124.1894,Felmar Beach resort
483,Tamiahua,MX,74.8,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
487,Ndele,CF,75.13,overcast clouds,8.4109,20.6473,
489,Puerto Leguizamo,CO,76.15,overcast clouds,-0.1934,-74.7819,la casona de juancho
491,Bedford,GB,71.8,clear sky,52.1346,-0.4663,Bedford Swan Hotel
495,Pemba,MZ,76.62,clear sky,-12.974,40.5178,Guesthouse Samotina
497,Abu Samrah,SY,72.3,clear sky,35.3029,37.1841,
498,Qarqin,AF,79.52,clear sky,37.4185,66.0436,
500,Waingapu,ID,76.95,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
504,Samarai,PG,76.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
506,Chiplun,IN,74.34,light rain,17.5333,73.5167,Hotel Reemz
510,El Carmen,CO,75.42,overcast clouds,8.5106,-73.4478,Hotel La Casona
512,Mkokotoni,TZ,75.92,few clouds,-5.8767,39.2547,
513,Tapel,PH,79.27,few clouds,18.2891,122.0292,Balay Bisita
514,Mbandaka,CD,73.51,overcast clouds,0.0487,18.2603,Guest House Epervier
518,Skowhegan,US,77.45,broken clouds,44.7651,-69.7192,Kyes Motel
520,Kirkwood,US,70.84,few clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
522,Cabadiangan,PH,77.9,broken clouds,9.7531,122.4739,Kipot
525,Kathmandu,NP,71.82,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
530,Nyimba,ZM,78.53,scattered clouds,-14.5566,30.8149,Dali Dali Lodge
532,Lakhnau,IN,78.78,mist,26.85,80.9167,OYO Flagship 19334 Shanta Inn Charbagh
533,Chadiza,ZM,73.47,scattered clouds,-14.0678,32.4392,Sankhani Guest House
535,Viedma,AR,72.79,few clouds,-40.8135,-62.9967,Hotel Cristal
542,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
543,Tarakan,ID,78.64,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
546,Ambanja,MG,73.74,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
550,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
551,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
