City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Nanortalik,GL,60.1432,-45.2371,37.63,75,17,22.59,few clouds
122,South River,US,40.4465,-74.386,82.42,77,99,5.01,overcast clouds
123,Coro,VE,11.4045,-69.6734,91.44,57,100,14.63,overcast clouds
124,Noumea,NC,-22.2763,166.4572,60.78,65,3,8.39,clear sky
125,Tulun,RU,54.5611,100.5792,40.53,89,100,7.29,overcast clouds
126,Storforshei,NO,66.4043,14.5233,47.66,87,75,1.14,broken clouds
127,Buenos Aires,AR,-34.6132,-58.3772,66.09,77,40,11.5,scattered clouds
128,Georgetown,MY,5.4112,100.3354,81.9,80,20,0.0,few clouds
129,Dicabisagan,PH,17.0818,122.4157,78.35,88,8,4.45,clear sky
130,Tres Arroyos,AR,-38.3739,-60.2798,63.1,58,39,8.25,scattered clouds
131,Pokosnoye,RU,55.5258,101.0536,39.24,94,100,9.57,light rain
132,Meulaboh,ID,4.1363,96.1285,78.39,85,80,2.35,broken clouds
133,Ternate,ID,0.8,127.4,79.9,78,87,1.59,moderate rain
134,Lavrentiya,RU,65.5833,-171.0,30.69,68,86,0.45,overcast clouds
135,Vrede,ZA,-27.4257,29.1659,63.93,29,24,3.78,few clouds
136,Vaitape,PF,-16.5167,-151.75,77.76,69,13,9.31,few clouds
137,Zubtsov,RU,56.1753,34.5894,42.8,94,78,5.23,broken clouds
138,Bethel,US,41.3712,-73.414,81.05,78,90,1.99,overcast clouds
139,Hami,CN,42.8,93.45,68.97,18,60,4.32,broken clouds
140,East London,ZA,-33.0153,27.9116,71.64,72,82,5.32,broken clouds
141,Ahuimanu,US,21.4447,-157.8378,76.71,81,90,4.61,mist
142,Asau,RO,46.4333,26.4,50.4,74,89,4.18,overcast clouds
143,Bathsheba,BB,13.2167,-59.5167,92.01,58,40,13.8,scattered clouds
144,Mbala,ZM,-8.8402,31.3659,73.65,27,46,7.81,scattered clouds
145,Ribeira Grande,PT,38.5167,-28.7,73.8,64,20,14.97,few clouds
146,Bilibino,RU,68.0546,166.4372,24.66,96,100,1.83,light snow
147,Rypefjord,NO,70.6333,23.6667,47.95,71,40,14.97,scattered clouds
148,Puerto Escondido,MX,15.85,-97.0667,86.49,60,12,4.68,few clouds
149,Barisal,BD,22.7019,90.3711,79.63,88,36,5.75,scattered clouds
150,Qianan,CN,44.9932,124.0581,50.59,84,6,5.06,clear sky
151,Qena,EG,26.1615,32.7183,93.07,18,0,17.0,clear sky
152,Kamenka,RU,51.3223,42.7678,49.05,70,100,3.51,overcast clouds
153,Colon,PA,9.3592,-79.9014,88.25,68,64,4.9,broken clouds
154,Yarmouth,US,41.7057,-70.2286,80.82,80,90,8.99,overcast clouds
155,Hermanus,ZA,-34.4187,19.2345,61.9,85,34,14.38,scattered clouds
156,Aborlan,PH,9.4352,118.5492,78.1,85,90,4.16,overcast clouds
157,Labuhan,ID,-6.8844,112.2051,81.72,74,92,7.94,overcast clouds
158,Douentza,ML,14.9951,-2.9517,95.54,33,100,9.44,overcast clouds
159,Vredendal,ZA,-31.6683,18.5012,59.31,79,21,6.89,few clouds
160,Bluff,NZ,-46.6,168.3333,45.81,68,59,29.24,broken clouds
161,Toktogul,KG,41.8708,72.9402,64.9,34,6,0.69,clear sky
162,Thompson,CA,55.7435,-97.8558,53.76,94,90,6.91,overcast clouds
163,Uzunovo,RU,54.5386,38.6173,48.0,84,100,5.79,light rain
164,Thinadhoo,MV,0.5333,72.9333,83.28,77,28,20.09,scattered clouds
165,Grindavik,IS,63.8424,-22.4338,45.07,93,90,14.97,mist
166,Mandera,KE,3.9366,41.867,86.74,43,87,20.51,overcast clouds
167,Bandarbeyla,SO,9.4942,50.8122,78.24,84,76,29.06,broken clouds
168,Shimoda,JP,34.6667,138.95,74.88,81,100,7.11,overcast clouds
169,Olga,RU,43.7444,135.2892,53.55,85,100,6.33,overcast clouds
170,Narsaq,GL,60.9167,-46.05,43.02,49,38,6.51,scattered clouds
171,Diamond Harbour,IN,22.1917,88.1847,84.18,90,100,5.64,overcast clouds
172,Klaksvik,FO,62.2266,-6.589,43.72,81,100,23.2,overcast clouds
173,Port-Gentil,GA,-0.7193,8.7815,78.73,81,20,9.86,few clouds
174,Kemin,KG,42.7846,75.6892,55.54,32,69,3.29,broken clouds
175,Fare,PF,-16.7,-151.0167,76.86,73,12,10.33,light rain
176,Guerrero Negro,MX,27.9769,-114.0611,79.18,60,6,1.52,clear sky
177,Shahreza,IR,32.0339,51.8794,74.1,13,0,4.99,clear sky
178,Lakes Entrance,AU,-37.8811,147.981,52.57,73,0,6.49,clear sky
179,Ahipara,NZ,-35.1667,173.1667,56.61,88,93,18.52,overcast clouds
180,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,6.91,scattered clouds
181,Mehamn,NO,71.0357,27.8492,48.15,57,20,21.85,few clouds
182,Ola,RU,59.5833,151.2833,43.25,83,2,1.45,clear sky
183,Cervo,ES,43.6702,-7.4101,69.19,85,96,14.63,overcast clouds
184,Mezica,SI,46.5214,14.8544,63.1,78,11,3.22,few clouds
185,Mocuba,MZ,-16.8392,36.9856,71.44,75,46,7.81,scattered clouds
186,Maniitsoq,GL,65.4167,-52.9,32.49,43,2,4.88,clear sky
187,Warrington,GB,53.3925,-2.5802,64.24,82,20,1.99,few clouds
188,Kashary,RU,49.04,41.0056,53.28,54,82,6.73,broken clouds
189,Shakawe,BW,-18.3667,21.85,81.09,16,29,6.51,scattered clouds
190,Singkawang,ID,0.9,109.0,77.74,90,94,3.13,overcast clouds
191,Vardo,NO,70.3705,31.1107,46.38,71,0,18.41,clear sky
192,Udachnyy,RU,66.4167,112.4,34.63,77,50,5.91,scattered clouds
193,Laguna,US,38.421,-121.4238,87.08,40,1,5.01,clear sky
194,Sept-Iles,CA,50.2001,-66.3821,54.25,90,100,1.99,overcast clouds
195,Krasnoselkup,RU,65.7,82.4667,33.67,83,99,13.35,overcast clouds
196,Ugoofaaru,MV,5.6667,73.0,83.07,77,99,16.91,overcast clouds
197,Winburg,ZA,-28.518,27.0093,64.0,30,81,4.16,broken clouds
198,Kloulklubed,PW,7.0419,134.2556,73.9,75,100,8.34,overcast clouds
199,Bamiantong,CN,44.9333,130.5333,43.77,88,7,1.68,clear sky
200,Gatesville,US,31.4352,-97.7439,80.42,26,1,4.61,clear sky
201,Qaqortoq,GL,60.7167,-46.0333,43.3,47,6,21.43,clear sky
202,Port Lincoln,AU,-34.7333,135.8667,53.87,91,0,9.17,clear sky
203,Ileza,RU,61.0533,43.9002,46.35,89,100,8.08,overcast clouds
204,Inta,RU,66.0317,60.1659,38.77,84,100,6.06,overcast clouds
205,Nemuro,JP,43.3236,145.575,56.1,92,100,19.71,moderate rain
206,Carroll,US,39.5501,-77.0164,70.92,68,75,6.91,broken clouds
207,Chapais,CA,49.7834,-74.8492,46.18,87,100,10.51,overcast clouds
